base	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	carrier_sentence	target_sentence
brivepszik / brivepedik	brivepßik / brivepedik	cselekszenek/cselekednek	nonce word response	brivepszünk	brivepedünk	19	7	0.9162907318741551	-szik	2	NA	ünk	János imád brivepedni, ezért sokat brivepszik.	Mi ritkán...
brobódzik	brobódzik	lakok/lakom	nonce word response	brobódzok	brobódzom	9	18	-0.6418538861723948	-zik	2	NA	NA	Te bizony sokat brobódzol.	Én is sokat...
bródesz	bródeß	hotelban/hotelben	nonce word response	bródesznak	bródesznek	6	20	-1.0986122886681098	NA	NA	e	nak	Ez itt egy bródesz.	Elneveztem a kutyámat...
brotes	brotes	hotelban/hotelben	nonce word response	brotesban	brotesben	13	13	0	NA	NA	e	ban	Ez itt egy brotes.	Ott vagyunk a...
brözlik / brözözik	brözlik / brözözik	cselekszenek/cselekednek	nonce word response	brözlötök	brözöztök	14	13	0.06899287148695142	-lik	1	NA	tek	János imád brözözni, ezért sokat brözlik.	Ti ritkán...
brubzik	brubzik	lakok/lakom	nonce word response	brubzok	brubzom	16	11	0.3483066942682158	-zik	1	NA	NA	Te bizony sokat brubzol.	Én is sokat...
brüjlik	brüjlik	lakok/lakom	nonce word response	brüjlök	brüjlöm	18	8	0.7472144018302211	-lik	1	NA	NA	Te bizony sokat brüjlesz.	Én is sokat...
brukész	brukéß	hotelban/hotelben	nonce word response	brukésznál	brukésznél	12	14	-0.1431008436406733	NA	NA	é	nál	Ez itt egy brukész.	Nincs is jobb egy jó...
brűklik / brűközik	brűklik / brűközik	cselekszenek/cselekednek	nonce word response	brűklötök	brűköztök	14	12	0.14310084364067324	-lik	1	NA	tek	János imád brűközni, ezért sokat brűklik.	Ti ritkán...
brülöslik / brülösözik	brülöslik / brülösözik	cselekszenek/cselekednek	nonce word response	brülöslünk	brülösözünk	13	14	-0.06899287148695143	-lik	2	NA	ünk	János imád brülösözni, ezért sokat brülöslik.	Mi ritkán...
brürzik / brürözik	brürzik / brürözik	cselekszenek/cselekednek	nonce word response	brürzenek	brüröznek	12	14	-0.1431008436406733	-zik	1	NA	nek	János imád brürözni, ezért sokat brürzik.	Ők ritkán...
brüszlik / brüszözik	brüßlik / brüßözik	cselekszenek/cselekednek	nonce word response	brüszlötök	brüszöztök	12	15	-0.2076393647782445	-lik	1	NA	tek	János imád brüszözni, ezért sokat brüszlik.	Ti ritkán...
büglik	büglik	lakok/lakom	nonce word response	büglök	büglöm	19	7	0.9162907318741551	-lik	1	NA	NA	Te bizony sokat büglesz.	Én is sokat...
bügzik / bügözik	bügzik / bügözik	cselekszenek/cselekednek	nonce word response	bügzenek	bügöznek	18	9	0.6418538861723947	-zik	1	NA	nek	János imád bügözni, ezért sokat bügzik.	Ők ritkán...
buhény	buhé¥	hotelban/hotelben	nonce word response	buhényban	buhényben	21	6	1.1451323043030026	NA	NA	é	ban	Ez itt egy buhény.	Ott vagyunk a...
bupéz	bupéz	hotelban/hotelben	nonce word response	bupézban	bupézben	15	11	0.28768207245178085	NA	NA	é	ban	Ez itt egy bupéz.	Ott vagyunk a...
bűtszik	bűtßik	lakok/lakom	nonce word response	bűtszök	bűtszöm	14	12	0.14310084364067324	-szik	1	NA	NA	Te bizony sokat bűtszöl.	Én is sokat...
cságyelt	çá©elt	hotelban/hotelben	nonce word response	cságyeltban	cságyeltben	9	20	-0.7419373447293773	NA	NA	e	ban	Ez itt egy cságyelt.	Ott vagyunk a...
csartény	çarté¥	hotelban/hotelben	nonce word response	csarténynak	csarténynek	16	11	0.3483066942682158	NA	NA	é	nak	Ez itt egy csartény.	Elneveztem a kutyámat...
csibagzik / csibagozik	çibagzik / çibagozik	cselekszenek/cselekednek	nonce word response	csibagzotok	csibagoztok	8	19	-0.7985076962177716	-zik	2	NA	tek	János imád csibagozni, ezért sokat csibagzik.	Ti ritkán...
csimen	çimen	hotelban/hotelben	nonce word response	csimennál	csimennél	1	28	-2.6741486494265287	NA	NA	e	nál	Ez itt egy csimen.	Nincs is jobb egy jó...
csinték	çinték	hotelban/hotelben	nonce word response	csintékban	csintékben	4	25	-1.6486586255873816	NA	NA	é	ban	Ez itt egy csinték.	Ott vagyunk a...
csíszlik	çíßlik	lakok/lakom	nonce word response	csíszlok	csíszlom	20	9	0.7419373447293773	-lik	1	NA	NA	Te bizony sokat csíszlasz.	Én is sokat...
csodeg	çodeg	hotelban/hotelben	nonce word response	csodegnál	csodegnél	10	16	-0.4353180712578455	NA	NA	e	nál	Ez itt egy csodeg.	Nincs is jobb egy jó...
csólorzik	çólorzik	lakok/lakom	nonce word response	csólorzok	csólorzom	10	19	-0.5978370007556204	-zik	2	NA	NA	Te bizony sokat csólorzol.	Én is sokat...
csublény	çublé¥	hotelban/hotelben	nonce word response	csublényban	csublényben	17	10	0.49247648509779424	NA	NA	é	ban	Ez itt egy csublény.	Ott vagyunk a...
csubzik / csubozik	çubzik / çubozik	cselekszenek/cselekednek	nonce word response	csubzunk	csubozunk	20	9	0.7419373447293773	-zik	1	NA	ünk	János imád csubozni, ezért sokat csubzik.	Mi ritkán...
dábegy	dábe©	hotelban/hotelben	nonce word response	dábegyban	dábegyben	4	23	-1.5686159179138452	NA	NA	e	ban	Ez itt egy dábegy.	Ott vagyunk a...
dabzik / dabozik	dabzik / dabozik	cselekszenek/cselekednek	nonce word response	dabzotok	daboztok	13	16	-0.1941560144409575	-zik	1	NA	tek	János imád dabozni, ezért sokat dabzik.	Ti ritkán...
dajrens	dajrens	hotelban/hotelben	nonce word response	dajrensnál	dajrensnél	4	23	-1.5686159179138452	NA	NA	e	nál	Ez itt egy dajrens.	Nincs is jobb egy jó...
dalenc	dalenc	hotelban/hotelben	nonce word response	dalencnál	dalencnél	9	17	-0.587786664902119	NA	NA	e	nál	Ez itt egy dalenc.	Nincs is jobb egy jó...
danét	danét	hotelban/hotelben	nonce word response	danétnál	danétnél	19	7	0.9162907318741551	NA	NA	é	nál	Ez itt egy danét.	Nincs is jobb egy jó...
dárakszik / dárakodik	dárakßik / dárakodik	cselekszenek/cselekednek	nonce word response	dárakszunk	dárakodunk	15	14	0.06453852113757116	-szik	2	NA	ünk	János imád dárakodni, ezért sokat dárakszik.	Mi ritkán...
darhén	darhén	hotelban/hotelben	nonce word response	darhénban	darhénben	24	3	1.8325814637483102	NA	NA	é	ban	Ez itt egy darhén.	Ott vagyunk a...
dibáglik / dibágozik	dibáglik / dibágozik	cselekszenek/cselekednek	nonce word response	dibáglotok	dibágoztok	16	13	0.1941560144409574	-lik	2	NA	tek	János imád dibágozni, ezért sokat dibáglik.	Ti ritkán...
dibez	dibez	hotelban/hotelben	nonce word response	dibezban	dibezben	2	24	-2.120263536200091	NA	NA	e	ban	Ez itt egy dibez.	Ott vagyunk a...
dihely	dihe¬	hotelban/hotelben	nonce word response	dihelynak	dihelynek	1	28	-2.6741486494265287	NA	NA	e	nak	Ez itt egy dihely.	Elneveztem a kutyámat...
dilaklik / dilakozik	dilaklik / dilakozik	cselekszenek/cselekednek	nonce word response	dilaklotok	dilakoztok	11	18	-0.4595323293784402	-lik	2	NA	tek	János imád dilakozni, ezért sokat dilaklik.	Ti ritkán...
dinelt	dinelt	hotelban/hotelben	nonce word response	dineltban	dineltben	3	26	-1.9095425048844386	NA	NA	e	ban	Ez itt egy dinelt.	Ott vagyunk a...
dingec	dingec	hotelban/hotelben	nonce word response	dingecnak	dingecnek	3	26	-1.9095425048844386	NA	NA	e	nak	Ez itt egy dingec.	Elneveztem a kutyámat...
diránylik / dirányozik	dirá¥lik / dirá¥ozik	cselekszenek/cselekednek	nonce word response	diránylanak	dirányoznak	13	14	-0.06899287148695143	-lik	2	NA	nek	János imád dirányozni, ezért sokat diránylik.	Ők ritkán...
dirlik / dirozik	dirlik / dirozik	cselekszenek/cselekednek	nonce word response	dirlotok	diroztok	13	13	0	-lik	1	NA	tek	János imád dirozni, ezért sokat dirlik.	Ti ritkán...
dóbem	dóbem	hotelban/hotelben	nonce word response	dóbemnak	dóbemnek	6	23	-1.2321436812926323	NA	NA	e	nak	Ez itt egy dóbem.	Elneveztem a kutyámat...
döjlik / döjözik	döjlik / döjözik	cselekszenek/cselekednek	nonce word response	döjlenek	döjöznek	17	9	0.5877866649021191	-lik	1	NA	nek	János imád döjözni, ezért sokat döjlik.	Ők ritkán...
dorzéj	dorzéj	hotelban/hotelben	nonce word response	dorzéjnak	dorzéjnek	12	14	-0.1431008436406733	NA	NA	é	nak	Ez itt egy dorzéj.	Elneveztem a kutyámat...
dralágzik / dralágozik	dralágzik / dralágozik	cselekszenek/cselekednek	nonce word response	dralágzunk	dralágozunk	16	10	0.4353180712578455	-zik	2	NA	ünk	János imád dralágozni, ezért sokat dralágzik.	Mi ritkán...
driládzik	driládzik	lakok/lakom	nonce word response	driládzok	driládzom	10	19	-0.5978370007556204	-zik	2	NA	NA	Te bizony sokat driládzol.	Én is sokat...
drilarzik / drilarozik	drilarzik / drilarozik	cselekszenek/cselekednek	nonce word response	drilarzunk	drilarozunk	10	16	-0.4353180712578455	-zik	2	NA	ünk	János imád drilarozni, ezért sokat drilarzik.	Mi ritkán...
drivegzik / drivegezik	drivegzik / drivegezik	cselekszenek/cselekednek	nonce word response	drivegzetek	drivegeztek	10	16	-0.4353180712578455	-zik	2	NA	tek	János imád drivegezni, ezért sokat drivegzik.	Ti ritkán...
drojzik / drojozik	drojzik / drojozik	cselekszenek/cselekednek	nonce word response	drojzunk	drojozunk	17	12	0.32542240043462795	-zik	1	NA	ünk	János imád drojozni, ezért sokat drojzik.	Mi ritkán...
drubódzik	drubódzik	lakok/lakom	nonce word response	drubódzok	drubódzom	10	16	-0.4353180712578455	-zik	2	NA	NA	Te bizony sokat drubódzol.	Én is sokat...
drügzik	drügzik	lakok/lakom	nonce word response	drügzök	drügzöm	14	13	0.06899287148695142	-zik	1	NA	NA	Te bizony sokat drügzöl.	Én is sokat...
drűrzik / drűrözik	drűrzik / drűrözik	cselekszenek/cselekednek	nonce word response	drűrzenek	drűröznek	11	16	-0.3483066942682157	-zik	1	NA	nek	János imád drűrözni, ezért sokat drűrzik.	Ők ritkán...
düjzik	düjzik	lakok/lakom	nonce word response	düjzök	düjzöm	13	13	0	-zik	1	NA	NA	Te bizony sokat düjzöl.	Én is sokat...
dujzik / dujozik	dujzik / dujozik	cselekszenek/cselekednek	nonce word response	dujzanak	dujoznak	16	11	0.3483066942682158	-zik	1	NA	nek	János imád dujozni, ezért sokat dujzik.	Ők ritkán...
dunkész	dunkéß	hotelban/hotelben	nonce word response	dunkészban	dunkészben	15	12	0.20763936477824455	NA	NA	é	ban	Ez itt egy dunkész.	Ott vagyunk a...
dutec	dutec	hotelban/hotelben	nonce word response	dutecnál	dutecnél	6	21	-1.1451323043030026	NA	NA	e	nál	Ez itt egy dutec.	Nincs is jobb egy jó...
fádens	fádens	hotelban/hotelben	nonce word response	fádensnak	fádensnek	6	21	-1.1451323043030026	NA	NA	e	nak	Ez itt egy fádens.	Elneveztem a kutyámat...
fágyép	fá©ép	hotelban/hotelben	nonce word response	fágyépnál	fágyépnél	13	14	-0.06899287148695143	NA	NA	é	nál	Ez itt egy fágyép.	Nincs is jobb egy jó...
fájéz	fájéz	hotelban/hotelben	nonce word response	fájézban	fájézben	19	10	0.5978370007556204	NA	NA	é	ban	Ez itt egy fájéz.	Ott vagyunk a...
féjzik	féjzik	lakok/lakom	nonce word response	féjzek	féjzem	16	10	0.4353180712578455	-zik	1	NA	NA	Te bizony sokat féjzel.	Én is sokat...
femlik	femlik	lakok/lakom	nonce word response	femlek	femlem	25	4	1.6486586255873816	-lik	1	NA	NA	Te bizony sokat femlesz.	Én is sokat...
feténylik	feté¥lik	lakok/lakom	nonce word response	feténylek	feténylem	23	4	1.5686159179138452	-lik	2	NA	NA	Te bizony sokat feténylesz.	Én is sokat...
fibamlik	fibamlik	lakok/lakom	nonce word response	fibamlok	fibamlom	26	3	1.9095425048844386	-lik	2	NA	NA	Te bizony sokat fibamlasz.	Én is sokat...
figlik	figlik	lakok/lakom	nonce word response	figlok	figlom	20	9	0.7419373447293773	-lik	1	NA	NA	Te bizony sokat figlasz.	Én is sokat...
filágzik	filágzik	lakok/lakom	nonce word response	filágzok	filágzom	7	20	-0.9650808960435872	-zik	2	NA	NA	Te bizony sokat filágzol.	Én is sokat...
filánylik / filányozik	filá¥lik / filá¥ozik	cselekszenek/cselekednek	nonce word response	filánylunk	filányozunk	13	13	0	-lik	2	NA	ünk	János imád filányozni, ezért sokat filánylik.	Mi ritkán...
fincek	fincek	hotelban/hotelben	nonce word response	finceknál	finceknél	4	22	-1.5260563034950494	NA	NA	e	nál	Ez itt egy fincek.	Nincs is jobb egy jó...
fivénylik	fivé¥lik	lakok/lakom	nonce word response	fivénylek	fivénylem	20	9	0.7419373447293773	-lik	2	NA	NA	Te bizony sokat fivénylesz.	Én is sokat...
fizend	fizend	hotelban/hotelben	nonce word response	fizendban	fizendben	1	25	-2.5649493574615367	NA	NA	e	ban	Ez itt egy fizend.	Ott vagyunk a...
flagánylik	flagá¥lik	lakok/lakom	nonce word response	flagánylok	flagánylom	22	7	1.0560526742493137	-lik	2	NA	NA	Te bizony sokat flagánylasz.	Én is sokat...
flagárzik	flagárzik	lakok/lakom	nonce word response	flagárzok	flagárzom	12	15	-0.2076393647782445	-zik	2	NA	NA	Te bizony sokat flagárzol.	Én is sokat...
flátlik / flátozik	flátlik / flátozik	cselekszenek/cselekednek	nonce word response	flátlotok	flátoztok	11	15	-0.2876820724517809	-lik	1	NA	tek	János imád flátozni, ezért sokat flátlik.	Ti ritkán...
flátszik	flátßik	lakok/lakom	nonce word response	flátszok	flátszom	11	18	-0.4595323293784402	-szik	1	NA	NA	Te bizony sokat flátszol.	Én is sokat...
flehékszik	flehékßik	lakok/lakom	nonce word response	flehékszek	flehékszem	10	19	-0.5978370007556204	-szik	2	NA	NA	Te bizony sokat flehékszel.	Én is sokat...
flehénylik	flehé¥lik	lakok/lakom	nonce word response	flehénylek	flehénylem	23	4	1.5686159179138452	-lik	2	NA	NA	Te bizony sokat flehénylesz.	Én is sokat...
flemlik / flemezik	flemlik / flemezik	cselekszenek/cselekednek	nonce word response	flemlünk	flemezünk	10	19	-0.5978370007556204	-lik	1	NA	ünk	János imád flemezni, ezért sokat flemlik.	Mi ritkán...
flerékszik / flerékedik	flerékßik / flerékedik	cselekszenek/cselekednek	nonce word response	flerékszünk	flerékedünk	17	12	0.32542240043462795	-szik	2	NA	ünk	János imád flerékedni, ezért sokat flerékszik.	Mi ritkán...
flérlik	flérlik	lakok/lakom	nonce word response	flérlek	flérlem	23	4	1.5686159179138452	-lik	1	NA	NA	Te bizony sokat flérlesz.	Én is sokat...
flézlik / flézezik	flézlik / flézezik	cselekszenek/cselekednek	nonce word response	flézletek	flézeztek	11	18	-0.4595323293784402	-lik	1	NA	tek	János imád flézezni, ezért sokat flézlik.	Ti ritkán...
flibekszik	flibekßik	lakok/lakom	nonce word response	flibekszek	flibekszem	11	18	-0.4595323293784402	-szik	2	NA	NA	Te bizony sokat flibekszel.	Én is sokat...
fligzik	fligzik	lakok/lakom	nonce word response	fligzok	fligzom	10	19	-0.5978370007556204	-zik	1	NA	NA	Te bizony sokat fligzol.	Én is sokat...
fliraklik	fliraklik	lakok/lakom	nonce word response	fliraklok	fliraklom	13	13	0	-lik	2	NA	NA	Te bizony sokat fliraklasz.	Én is sokat...
flitlik	flitlik	lakok/lakom	nonce word response	flitlok	flitlom	25	4	1.6486586255873816	-lik	1	NA	NA	Te bizony sokat flitlasz.	Én is sokat...
flivegzik / flivegezik	flivegzik / flivegezik	cselekszenek/cselekednek	nonce word response	flivegzenek	flivegeznek	11	16	-0.3483066942682157	-zik	2	NA	nek	János imád flivegezni, ezért sokat flivegzik.	Ők ritkán...
flodlik / flodozik	flodlik / flodozik	cselekszenek/cselekednek	nonce word response	flodlotok	flodoztok	12	17	-0.325422400434628	-lik	1	NA	tek	János imád flodozni, ezért sokat flodlik.	Ti ritkán...
floglik	floglik	lakok/lakom	nonce word response	floglok	floglom	18	11	0.45953232937844013	-lik	1	NA	NA	Te bizony sokat floglasz.	Én is sokat...
flöklik / flöközik	flöklik / flöközik	cselekszenek/cselekednek	nonce word response	flöklötök	flököztök	12	14	-0.1431008436406733	-lik	1	NA	tek	János imád flöközni, ezért sokat flöklik.	Ti ritkán...
flözlik	flözlik	lakok/lakom	nonce word response	flözlök	flözlöm	20	7	0.965080896043587	-lik	1	NA	NA	Te bizony sokat flözlesz.	Én is sokat...
fluboklik / flubokozik	fluboklik / flubokozik	cselekszenek/cselekednek	nonce word response	fluboklotok	flubokoztok	10	19	-0.5978370007556204	-lik	2	NA	tek	János imád flubokozni, ezért sokat fluboklik.	Ti ritkán...
flugonylik / flugonyozik	flugo¥lik / flugo¥ozik	cselekszenek/cselekednek	nonce word response	flugonylanak	flugonyoznak	13	13	0	-lik	2	NA	nek	János imád flugonyozni, ezért sokat flugonylik.	Ők ritkán...
flűgzik / flűgözik	flűgzik / flűgözik	cselekszenek/cselekednek	nonce word response	flűgzünk	flűgözünk	17	12	0.32542240043462795	-zik	1	NA	ünk	János imád flűgözni, ezért sokat flűgzik.	Mi ritkán...
flűmlik	flűmlik	lakok/lakom	nonce word response	flűmlök	flűmlöm	24	5	1.4271163556401458	-lik	1	NA	NA	Te bizony sokat flűmlesz.	Én is sokat...
flűröklik	flűröklik	lakok/lakom	nonce word response	flűröklök	flűröklöm	17	12	0.32542240043462795	-lik	2	NA	NA	Te bizony sokat flűröklesz.	Én is sokat...
flüröklik / flüröközik	flüröklik / flüröközik	cselekszenek/cselekednek	nonce word response	flüröklötök	flürököztök	16	13	0.1941560144409574	-lik	2	NA	tek	János imád flüröközni, ezért sokat flüröklik.	Ti ritkán...
flüröslik	flüröslik	lakok/lakom	nonce word response	flüröslök	flüröslöm	20	9	0.7419373447293773	-lik	2	NA	NA	Te bizony sokat flüröslesz.	Én is sokat...
fojlegy	fojle©	hotelban/hotelben	nonce word response	fojlegynak	fojlegynek	1	28	-2.6741486494265287	NA	NA	e	nak	Ez itt egy fojlegy.	Elneveztem a kutyámat...
fökszik / föködik	fökßik / föködik	cselekszenek/cselekednek	nonce word response	fökszenek	föködnek	18	9	0.6418538861723947	-szik	1	NA	nek	János imád föködni, ezért sokat fökszik.	Ők ritkán...
forzéd	forzéd	hotelban/hotelben	nonce word response	forzédnak	forzédnek	13	16	-0.1941560144409575	NA	NA	é	nak	Ez itt egy forzéd.	Elneveztem a kutyámat...
frágapszik	frágapßik	lakok/lakom	nonce word response	frágapszok	frágapszom	11	16	-0.3483066942682157	-szik	2	NA	NA	Te bizony sokat frágapszol.	Én is sokat...
fraklik / frakozik	fraklik / frakozik	cselekszenek/cselekednek	nonce word response	fraklunk	frakozunk	15	12	0.20763936477824455	-lik	1	NA	ünk	János imád frakozni, ezért sokat fraklik.	Mi ritkán...
frálapszik / frálapodik	frálapßik / frálapodik	cselekszenek/cselekednek	nonce word response	frálapszotok	frálapodtok	16	10	0.4353180712578455	-szik	2	NA	tek	János imád frálapodni, ezért sokat frálapszik.	Ti ritkán...
frálaslik / frálasozik	frálaslik / frálasozik	cselekszenek/cselekednek	nonce word response	frálaslanak	frálasoznak	18	11	0.45953232937844013	-lik	2	NA	nek	János imád frálasozni, ezért sokat frálaslik.	Ők ritkán...
frélegzik / frélegezik	frélegzik / frélegezik	cselekszenek/cselekednek	nonce word response	frélegzünk	frélegezünk	19	8	0.7985076962177716	-zik	2	NA	ünk	János imád frélegezni, ezért sokat frélegzik.	Mi ritkán...
fréslik / frésezik	fréslik / frésezik	cselekszenek/cselekednek	nonce word response	fréslünk	frésezünk	19	10	0.5978370007556204	-lik	1	NA	ünk	János imád frésezni, ezért sokat fréslik.	Mi ritkán...
fretszik	fretßik	lakok/lakom	nonce word response	fretszek	fretszem	13	13	0	-szik	1	NA	NA	Te bizony sokat fretszel.	Én is sokat...
friheglik / frihegezik	friheglik / frihegezik	cselekszenek/cselekednek	nonce word response	friheglünk	frihegezünk	14	13	0.06899287148695142	-lik	2	NA	ünk	János imád frihegezni, ezért sokat friheglik.	Mi ritkán...
frilegszik	frilegßik	lakok/lakom	nonce word response	frilegszek	frilegszem	11	15	-0.2876820724517809	-szik	2	NA	NA	Te bizony sokat frilegszel.	Én is sokat...
frinylik / frinyozik	fri¥lik / fri¥ozik	cselekszenek/cselekednek	nonce word response	frinylunk	frinyozunk	13	14	-0.06899287148695143	-lik	1	NA	ünk	János imád frinyozni, ezért sokat frinylik.	Mi ritkán...
frirzik / frirozik	frirzik / frirozik	cselekszenek/cselekednek	nonce word response	frirzunk	frirozunk	11	16	-0.3483066942682157	-zik	1	NA	ünk	János imád frirozni, ezért sokat frirzik.	Mi ritkán...
friszlik	frißlik	lakok/lakom	nonce word response	friszlok	friszlom	15	14	0.06453852113757116	-lik	1	NA	NA	Te bizony sokat friszlasz.	Én is sokat...
frivajlik	frivajlik	lakok/lakom	nonce word response	frivajlok	frivajlom	21	5	1.2992829841302609	-lik	2	NA	NA	Te bizony sokat frivajlasz.	Én is sokat...
frivamlik / frivamozik	frivamlik / frivamozik	cselekszenek/cselekednek	nonce word response	frivamlunk	frivamozunk	20	9	0.7419373447293773	-lik	2	NA	ünk	János imád frivamozni, ezért sokat frivamlik.	Mi ritkán...
frodlik	frodlik	lakok/lakom	nonce word response	frodlok	frodlom	20	9	0.7419373447293773	-lik	1	NA	NA	Te bizony sokat frodlasz.	Én is sokat...
fröjlik / fröjözik	fröjlik / fröjözik	cselekszenek/cselekednek	nonce word response	fröjlünk	fröjözünk	17	12	0.32542240043462795	-lik	1	NA	ünk	János imád fröjözni, ezért sokat fröjlik.	Mi ritkán...
